18:30:32 INF [API] listening addr=127.0.0.1:34103
18:30:32 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
18:30:32 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:60008 rAddr=api.github.com:443 proxy=DIRECT
18:30:32 INF [Config] initial compatible provider name=🔰 选择节点
18:30:32 INF [Config] initial compatible provider name=🐟 漏网之鱼
18:30:32 INF [Config] initial compatible provider name=📺 动画疯
18:30:32 INF [Config] initial compatible provider name=☁️ Cloudflare
18:30:32 INF [Config] initial compatible provider name=🎮 Steam 客户端地区
18:30:32 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
18:30:32 INF [Config] initial compatible provider name=🇨🇳 国内网站
18:30:32 INF [Config] initial compatible provider name=🛑 拦截广告
18:41:12 INF [TCP] connected lAddr=127.0.0.1:58636 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:41:28 INF [TCP] connected lAddr=127.0.0.1:60842 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:41:28 INF [TCP] connected lAddr=127.0.0.1:60854 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:42:15 INF [TCP] connected lAddr=127.0.0.1:40352 rAddr=api.github.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:42:30 INF [TCP] connected lAddr=127.0.0.1:54802 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:42:52 INF [TCP] connected lAddr=127.0.0.1:57340 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:44:22 INF [TCP] connected lAddr=127.0.0.1:33912 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:44:46 INF [TCP] connected lAddr=127.0.0.1:53546 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:46:29 INF [TCP] connected lAddr=127.0.0.1:52000 rAddr=slardar-bd.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:46:29 INF [TCP] connected lAddr=127.0.0.1:52002 rAddr=ttnet-doh.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:46:32 INF [TCP] connected lAddr=127.0.0.1:52010 rAddr=api100-eeft-imfile-quic-lf.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:46:32 INF [TCP] connected lAddr=127.0.0.1:52022 rAddr=api100-eeft-gateway-quic-lf.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:46:41 INF [TCP] connected lAddr=127.0.0.1:43156 rAddr=slardar-bd.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:46:50 INF [TCP] connected lAddr=127.0.0.1:36248 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:46:50 INF [TCP] connected lAddr=127.0.0.1:36262 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:47:06 INF [TCP] connected lAddr=127.0.0.1:40316 rAddr=slardar-bd.feishu.cn:443 mode=rule rule=DomainSuffix(cn) proxy=🇨🇳 国内网站[DIRECT]
18:47:18 INF [TCP] connected lAddr=127.0.0.1:36734 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:47:18 INF [TCP] connected lAddr=127.0.0.1:36724 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:47:18 INF [TCP] connected lAddr=127.0.0.1:36748 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
