14:19:31 INF [TCP] connected lAddr=127.0.0.1:40000 rAddr=stats.g.doubleclick.net:443 mode=rule rule=GeoIP(CN) proxy=🇨🇳 国内网站[DIRECT]
14:19:31 INF [TCP] connected lAddr=127.0.0.1:40020 rAddr=stats.g.doubleclick.net:443 mode=rule rule=GeoIP(CN) proxy=🇨🇳 国内网站[DIRECT]
14:19:31 INF [TCP] connected lAddr=127.0.0.1:40006 rAddr=js-agent.newrelic.com:443 mode=rule rule=DomainSuffix(js-agent.newrelic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:32 INF [TCP] connected lAddr=127.0.0.1:40022 rAddr=jbssales.zendesk.com:443 mode=rule rule=IPCIDR(104.16.0.0/13) proxy=☁️ Cloudflare[🇺🇲 美国A01]
14:19:32 INF [TCP] connected lAddr=127.0.0.1:40030 rAddr=content-autofill.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:32 INF [TCP] connected lAddr=127.0.0.1:40044 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:33 INF [TCP] connected lAddr=127.0.0.1:40054 rAddr=oauth.account.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:35 INF [TCP] connected lAddr=127.0.0.1:51198 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:37 INF [TCP] connected lAddr=127.0.0.1:51212 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:38 INF [TCP] connected lAddr=127.0.0.1:51220 rAddr=youtrack.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:39 INF [TCP] connected lAddr=127.0.0.1:51234 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:39 INF [TCP] connected lAddr=127.0.0.1:51240 rAddr=passwordsleakcheck-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:39 INF [TCP] connected lAddr=127.0.0.1:51242 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:39 INF [TCP] connected lAddr=127.0.0.1:51256 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:44 INF [TCP] connected lAddr=127.0.0.1:35164 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:51 INF [TCP] connected lAddr=127.0.0.1:35168 rAddr=content-autofill.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:07 INF [TCP] connected lAddr=127.0.0.1:46514 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:20 INF [TCP] connected lAddr=127.0.0.1:45776 rAddr=lh3.googleusercontent.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45794 rAddr=assets.monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45778 rAddr=assets.monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45796 rAddr=assets.monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45808 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45824 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45830 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45748 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45758 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:20:21 INF [TCP] connected lAddr=127.0.0.1:45764 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:24 INF [TCP] connected lAddr=127.0.0.1:42514 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:24 INF [TCP] connected lAddr=127.0.0.1:42528 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:25 INF [TCP] connected lAddr=127.0.0.1:42534 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:20:29 INF [TCP] connected lAddr=127.0.0.1:42540 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:21:25 INF [TCP] connected lAddr=127.0.0.1:51732 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:22:11 INF [TCP] connected lAddr=127.0.0.1:37712 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
